,logSumDollars,predicted,diff,Rank,Zipcode
0,5.0106352941,9.53263614226,13652.9296523,20551.0,00601
1,9.22137921909,9.7629039199,7266.01995193,18908.0,00602
2,8.87654455056,10.5945931453,32756.4197912,22421.0,00603
3,6.1944053911,7.61422262239,1536.81854286,15121.0,00606
4,8.46062283993,8.95964240022,3057.5739178,16769.0,00610
5,10.3198266572,10.5281220943,7023.26632468,18832.0,00612
6,6.87316383421,8.68546383183,4950.28402216,17943.0,00617
7,5.0106352941,7.94713880632,2677.47341691,16419.0,00622
8,9.01481198769,9.33909080501,3150.06229719,16826.0,00623
9,4.24849524205,7.22735917031,1306.5823801,14772.0,00624
10,7.80710329013,9.52098593693,11185.0557777,20051.0,00627
11,6.21460809842,8.18251538602,3077.84300779,16790.0,00637
12,7.62461898616,8.32972240225,2097.26667582,15871.0,00641
13,18.1691429136,10.6569430353,-77717917.4415,1.0,00646
14,5.87493073085,7.14022833284,905.716447511,14131.0,00650
15,8.35420356292,8.61554690118,1268.76491411,14698.0,00653
16,9.04334083128,8.61092528408,-2970.67263441,11121.0,00659
17,8.51719319142,10.0030649882,17094.0802194,21071.0,00660
18,6.59578051396,9.07367973916,7990.6619443,19162.0,00662
19,2.99573227355,7.21349401596,1337.62756232,14812.0,00664
20,9.19013766466,8.34936960058,-5572.48511997,9999.0,00667
21,8.32166480714,8.36526523515,183.250838474,13204.0,00669
22,10.1162170655,10.2871705654,4612.60264453,17770.0,00674
23,7.31322038709,7.79256099249,922.513684086,14167.0,00676
24,10.1369773959,9.44044360521,-12672.7005401,8193.0,00677
25,8.72972059027,9.0601245766,2421.22259663,16168.0,00678
26,9.61460475951,10.2867466033,14359.1604664,20687.0,00680
27,7.45414107815,10.7790316758,46276.6186602,22986.0,00682
28,8.8801682479,9.45349591902,5564.66972696,18233.0,00683
29,8.27282600365,8.41393278187,593.460407946,13681.0,00685
30,7.34601020991,8.09268673104,1720.46263031,15380.0,00687
31,6.54821910276,7.98535303744,2239.61420924,16011.0,00690
32,9.65598726972,9.90900668068,4495.68773187,17703.0,00692
33,9.6728157348,9.38642972732,-3954.55385872,10684.0,00693
34,6.90775527898,9.37515293013,10791.720718,19958.0,00698
35,8.8851640951,8.90531336532,147.03467423,13157.0,00703
36,9.37923890844,8.72628830843,-5677.18884704,9951.0,00705
37,6.21460809842,7.17024720138,800.165965898,13953.0,00707
38,6.90775527898,8.33241961155,3156.46241952,16832.0,00714
39,8.55641390457,8.7259972987,961.01797586,14223.0,00715
40,9.00491394147,10.5446691603,29831.4620059,22242.0,00716
41,8.51679311139,9.99646823495,16950.8107032,21056.0,00717
42,7.79482315218,8.0704721794,770.611791164,13913.0,00718
43,8.56121007683,7.81849009496,-2738.85127585,11221.0,00719
44,6.39692965522,7.75268011728,1727.80284637,15393.0,00720
45,12.2381041164,10.7039980687,-161976.452136,2302.0,00725
46,9.48903215259,10.782234916,34943.6323226,22514.0,00727
47,6.90775527898,8.55780403765,4207.23371879,17508.0,00728
48,10.8446659999,9.29089010523,-40421.1724968,5173.0,00729
49,6.882437471,10.0522621781,22233.2286537,21649.0,00730
50,6.55108033504,7.11571853774,531.167934073,13610.0,00731
51,5.68697535634,9.26151523754,10230.0692441,19811.0,00735
52,9.16387749757,8.9301410352,-1989.66899022,11595.0,00736
53,9.2510023537,10.5567600385,28021.3935504,22121.0,00738
54,5.89989735358,8.76080326201,6014.2337166,18442.0,00740
55,9.52061529308,10.7381357739,32442.0681296,22394.0,00745
56,6.90775527898,8.18125969749,2573.35317085,16309.0,00751
57,8.81284343352,8.5939978979,-1320.84414116,11992.0,00754
58,5.85793315448,8.42596487862,4214.04640534,17516.0,00757
59,7.99799931798,8.79244523963,3609.3127295,17147.0,00765
60,6.39692965522,8.40305538654,3860.67503426,17300.0,00767
61,8.48673398393,8.58314241689,490.862399203,13553.0,00769
62,7.97865372908,8.83473277693,3950.71812066,17351.0,00771
63,9.82476896782,10.1449493307,6976.17586933,18817.0,00773
64,7.16394668434,10.0674234285,22270.7753143,21657.0,00777
65,10.5604892865,8.9454761878,-30906.8984424,5877.0,00778
66,9.07084839316,9.33310185911,2608.14722623,16352.0,00780
67,9.30928031983,8.78905415234,-4477.97743442,10430.0,00783
68,7.88306935131,8.86234827762,4409.04458402,17645.0,00784
69,11.0063408355,10.1503110861,-34655.9355192,5580.0,00791
70,6.21460809842,7.78118208286,1895.10435963,15643.0,00794
71,6.39692965522,9.4656915662,12309.1490314,20283.0,00795
72,11.4595563333,11.5842013779,12584.7481715,20334.0,00901
73,12.3246242746,11.321954179,-142557.368993,2535.0,00907
74,10.0510019753,10.2941913472,6381.41301924,18569.0,00909
75,11.5335512828,9.69374182911,-85868.1923047,3467.0,00911
76,8.3089382526,9.870384859,15288.7840947,20833.0,00912
77,10.1742014768,10.2307507,1525.32916866,15116.0,00913
78,8.38708450607,9.29300400484,6471.76393054,18598.0,00915
79,10.3008532824,10.232297002,-1971.73807906,11605.0,00917
80,11.5981853089,11.5842013779,-1512.25182848,11865.0,00918
81,12.9938092917,10.8068437993,-390325.55971,1138.0,00920
82,10.1737055112,10.82659817,24137.1597003,21841.0,00921
83,9.32634404773,10.175416874,15019.8846583,20788.0,00923
84,9.86516243821,10.6251384241,21908.5523424,21614.0,00924
85,9.23024103368,9.44914519868,2496.30694871,16239.0,00925
86,13.7565670223,11.4933383089,-844699.657408,591.0,00926
87,11.9253661868,10.6167308865,-110238.022375,3005.0,00927
88,10.7707140827,10.3455711441,-16487.0840217,7547.0,00949
